,features,categorical_target_1,categorical_target_2,continuous_target_1,continous_target_2
21233,"A tremendous wine. Made from 100% Cabernet and raised for nearly two years in 40% new French oak, it defines the ripe, hedonistic Napa style. Yet it's no mere fruit bomb, offering a tobaccoey earthiness to the berries. A touch of raisins and heat in the finish seems to limit ageability, though, so drink up.",US,Cabernet Sauvignon,89,48.0
105725,"89-91 Barrel sample. Sweet fruit, soft tannins, ripe wine. The structure takes a while to show with dusty, almost velvet tannins.",France,Bordeaux-style Red Blend,90,
56321,"Full, creamy, lightly toasted aromas give way to a mature, mellow palate that's a bit flaccid. Nutty flavors suggest papaya and melon, while the finish is low on acidity and thus more flat than ideal.",Argentina,Chardonnay,86,18.0
113881,"Made with a little Gewürztraminer, this pretty white wine has citrus, floral, peach, apricot, vanilla and spice flavors, offset with crisp acidity. It's a nice wine for drinking as a cocktail or with passed around hors d'oeuvres.",US,Pinot Grigio,85,12.0
80017,"From both Muscat Canelli (65%) and Muscat Giallo (35%), this fragrant and inviting wine is exactly what it proclaims to be, slightly sweet in honeysuckle, citrus and crisp texture. It offers lightness and lingering acidity in a moderate-alcohol package.",US,Muscat,90,16.0
33982,"A Pinot in the ultralight style. There’s cranberry and tea qualities, and an almost weightless mouthfeel. No new oak renders it clean and fruity, with plenty of fresh-berry essence. In the end, it’s a lightweight that closes with licorice and anise notes.",US,Pinot Noir,85,20.0
60836,"90–92. Barrel sample. Packed with new wood, blackberry fruits and soft tannins, this wine sums up the fruitiness of the vintage. Great swathes of juicy acidity linger at the end.",France,Bordeaux-style Red Blend,91,
46641,"Spicy, leafy and dry, with mild red berry aromas. The palate is much the same, with a fresh, acidic mouthfeel and solid, snappy flavors of leafy red berry fruit, pepper and dry spice. Simple but competent wine.",Chile,Carmenère,85,10.0
42104,"Scattershot aromas are gritty and sweaty. This feels full but rather flat. Bland, sulfuric flavors of green fruits and melon finish short, with an oily texture.",Chile,Sauvignon Gris,83,20.0
72217,"Earth dominates the citrus fruit notes on the nose. On the equally lemony palate there is a touch of bitterness and some earthy notes, but the finish is clean, fresh and invigorating.",France,Chardonnay,86,23.0
11683,"Savory, slightly saucy aromas of plum, berry, tomato and leather come with a hint of oak. This is a bit choppy and tannic, with savory, roasted flavors of tomato, plum, currant and spice. A touch of saltiness and raw-oak flavor rise up on the finish.",Spain,Tempranillo Blend,87,10.0
3815,"Les Cimels is a solid, entry-level Costières de Nîmes blend of Syrah, Carignan and Grenache. Blackberry fruit dominates this full-bodied red, picking up intriguing tarry notes and glancing those with crisp, citrusy acids. Long and mouthwatering on the finish.",France,Rhône-style Red Blend,88,20.0
104084,"This small-production wine from two spectacular sites in the Petaluma Gap is robustly earthy and spicy, showing compost and blue fruit flavor. Broadly structured, it expands on the palate, its finish dotted with black tea and clove.",US,Pinot Noir,92,65.0
40535,"Half of the fruit was sourced from the outstanding Lewis Vineyard, and the dense, dark, purple berry flavors are compelling. Highlights of black olive, smoke, and a bit of stem and earth add complexity. Give this one some breathing time, or cellar it for a few more years to soften the muscular tannins.",US,Syrah,89,40.0
120086,"From the most famous sector in Morgon, this wine reveals the intense flavor from the steeply sloped, well-exposed vineyard. The wine, with concentration from old vines, has black-fruit-skin and blackberry flavors. Packed with tannins and acidity, it will age. Drink from 2020.",France,Gamay,94,25.0
48401,"Named after the 13th-century crusading Archbishop of Reims, this is Aubry's top cuvée. It is just coming into its own, filling out with ripe white and yellow fruits while keeping a tight, fresh edge. It is full in the mouth, creamy in texture and still able to age. Drink now and until 2022.",France,Champagne Blend,94,80.0
109533,"Wow. Black Kite's River Turn, one of of its three annual block designates, is invigoratingly inviting, a heady mix of floral cherry pie, bright, full and ripe with a balanced backbone of acidity and a gentle hint of gingerbread. This wine is ready to enjoy this second, but if you can help yourself, it'll also hold up for several years in the cellar and no matter when you decide to drink it, pair exquisitely with a range of deftly mannered food.",US,Pinot Noir,95,55.0
122564,"Taylor Fladgate's vintage Ports are always among the legendary wines. This hugely structured wine keeps the dense, perfumed tradition very much alive. Along with the power, it also has wonderful fruit, bursting out with blackberry jam. Even with all the fruitiness, it needs to age for decades.",Portugal,Port,96,99.0
64518,"A blend of Portuguese grapes with Cabernet Sauvignon, this is attractive and softly fruity. Its black fruit and gentle tannins make it completely ready to drink.",Portugal,Portuguese Red,85,16.0
39945,"This wine shows some of the less appealing aspects of American oak: overt spice and vanilla flavors and a slick, oily mouthfeel.",US,Chardonnay,82,14.0
3755,"This Elqui Syrah is topped with resiny oak aromas that emphasize clove and nutmeg. Big, full-bodied, sticky and tannic, this barrel-heavy wine tastes charred, toasty and burnt, with chocolate and campfire notes to the finish.",Chile,Carmenère,86,25.0
33241,"Just getting to maturity, this is hinting at toastiness while also retaining all the bright apple and citrus fruit flavors. The taut and steely texture brings out great freshness and a concentrated final acidity. It is just ready to drink.",France,Chardonnay,92,72.0
14407,"Atypical on the nose, as air freshener, berry jelly and exotic but odd aromas take over. The palate seems superficial and wholly unusual, with floral blueberry flavors and then an angular, floral finish. Not terrible but doesn't seem much like Cabernet.",Argentina,Cabernet Sauvignon,84,16.0
79018,"Ripe and rounded, this is a smooth wine given richness from the Gros Manseng in the blend. Citrus vies with pear and apricot, cut with intense acidity. It is fresh and textured with a steely character at the end. Wait to drink until the end of 2015.",France,White Blend,86,12.0
53134,"Produced from vines close to the chateau of Santenay, this is a tight, mineral wine. It has intense crisp acidity, tangy citrus and excellent potential. The fruit is asking for time to fill out, so drink from 2018.",France,Chardonnay,89,60.0
31953,"Fermented in open lagars, this wine is luscious with wonderful depth of black fruit flavor, spice and acidity. It has hints of wood, although these are already well integrated into the ripe fruit. Age this wine for at least 3–4 years.",Portugal,Portuguese Red,93,54.0
116184,"The winery's single-vineyard Syrah spent 20 months in 50% new French oak. It has an appealing mix of black cherry fruit and citrusy acids, with a hint of stone. The tang of Meyer lemon resonates long after the first swallow.",US,Syrah,90,29.0
78374,"This is a ripe, succulent white, dark golden in color, that's lush and expansive on the palate in fleshy tropical and stone fruit. Toasted oak comes forward on the finish, accentuating the wine's nearly full-bodied nature, never getting in the way of the minerality.",US,Chardonnay,91,48.0
37068,"A faint coppery-pink rosé, Taltarni's 2008 Taché is a blend of 58% Chardonnay, 37% Pinot Noir and 5% Pinot Meunier. It's lean and crisp, with a zesty, citrusy feel to the modest toast and mushroom flavors.",Australia,Sparkling Blend,88,25.0
102278,"This inaugural release displays dialed-back aromas of pencil eraser and dried herbs that need a bit more lift. The palate puts a premium on purity of expression along with a tart lick of acid and cinnamon notes on the finish. If the aromas and flavors sync up further, this young wine moves up a notch.",US,Grenache,90,22.0
56718,"Restrained and soft on the nose, this light-bodied white offers subtle lemon zestiness and a phenolic seam that provide structure and food-friendliness with a savory, almost herbal edge.",Austria,Grüner Veltliner,89,16.0
67426,"90-92 Barrel sample. A finely structured wine, its tannins firm but generous. It has some dark characters, black plums and a solid texture, but it is also fired with super-rich fruit.",France,Bordeaux-style Red Blend,91,
22763,"Made with late-harvest grapes left to partially dry on the vine, this conveys aromas of honey, chamomile flower and dried herb. The palate offers mature peach, lemon drop, dried apricot and white almond alongside fresh acidity.",Italy,Garganega,90,22.0
48209,"Inky, penetrating and bursting with black-fruit aromas as well as coffee, mocha and pastry notes. The palate is perfectly lush and deep, with smooth tannins and proper acidity propelling jammy, lovely berry flavors. Dark, smoky and rubbery on the finish, with a streamlined tail. One of the best Chilean Syrahs. Drink now through 2014; only 150 cases made.",Chile,Syrah,93,86.0
79009,"Although this is heavily oaked, with minty, dark aromas of shoe polish, char and black licorice, it's solid and generous as a whole. Grabby and tannic in feel, but not to an extreme level, this tastes of herbs, charred oak and black fruits. A mild green note works its way onto a woody finish.",Chile,Merlot,86,10.0
48199,"You want lush, plush and opulent in your California Syrah? Here you go. It's soft and intricate, with lacy tannins framing complex flavors of blackberries, black cherries, bacon, black pepper, anise and sandalwood. Just delicious now and for the next two to three years.",US,Syrah,93,38.0
